task_id,variant,type,word,base_word,prompt_source,prompt,filename
G12-002,v1,TT2_FILL,ном,ном,seed,"a single closed hardcover book, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-002-v1.png
G12-002,v2,TT2_FILL,нум,нум,seed,"a single wooden archery bow without arrow, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-002-v2.png
G12-002,v3,TT2_FILL,мод,мод,seed,"a single round green tree, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-002-v3.png
G12-003,v2,TT1_CHOICE,цас,цас,seed,"a pile of white snow, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-003-v2.png
G12-003,v3,TT1_CHOICE,мал,мал,seed,"a single cute sheep, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-003-v3.png
G12-004,v1,TT2_FILL,гэр,гэр,seed,"a single Mongolian yurt (ger) viewed from the front, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-004-v1.png
G12-004,v2,TT2_FILL,цас,цас,seed,"a pile of white snow, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-004-v2.png
G12-004,v3,TT2_FILL,мал,мал,seed,"a single cute sheep, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-004-v3.png
G12-005,v1,TT1_CHOICE,тогоо,тогоо,seed,"a single round cooking pot or cauldron, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-005-v1.png
G12-005,v2,TT1_CHOICE,шувуу,шувуу,seed,"a single small cute bird perched, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-005-v2.png
G12-005,v3,TT1_CHOICE,хүүхэд,хүүхэд,seed,"a single cute child standing, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-005-v3.png
G12-006,v1,TT2_FILL,тогоо,тогоо,seed,"a single round cooking pot or cauldron, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-006-v1.png
G12-006,v2,TT2_FILL,шувуу,шувуу,seed,"a single small cute bird perched, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-006-v2.png
G12-006,v3,TT2_FILL,хүүхэд,хүүхэд,seed,"a single cute child standing, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-006-v3.png
G12-014,v1,TT2_FILL,гэр,гэр,seed,"a single Mongolian yurt (ger) viewed from the front, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-014-v1.png
G12-014,v2,TT2_FILL,цонх,цонх,seed,"a single house window with frame, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-014-v2.png
G12-014,v3,TT2_FILL,багш,багш,seed,"a single friendly teacher character portrait, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-014-v3.png
G12-015,v3,TT2_FILL,бөмбөг,бөмбөг,seed,"a single red rubber ball, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G12-015-v3.png
G24-010,v2,TT2_FILL,шувуу,шувуу,seed,"a single small cute bird perched, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G24-010-v2.png
G24-011,v1,TT2_FILL,дэвтэр,дэвтэр,seed,"a single closed exercise notebook, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G24-011-v1.png
G24-011,v2,TT2_FILL,модон,мод,seed,"a single round green tree, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G24-011-v2.png
G24-011,v3,TT2_FILL,сандал,сандал,seed,"a single wooden chair viewed from the side, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G24-011-v3.png
G24-017,v1,TT2_FILL,аавтай,аав,seed,"a single friendly father figure, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G24-017-v1.png
G24-017,v2,TT2_FILL,сүүг,сүү,seed,"a single glass of white milk, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G24-017-v2.png
G24-017,v3,TT2_FILL,номыг,ном,seed,"a single closed hardcover book, flat cartoon sticker illustration for children's educational app, single subject centered, warm cream background, bold outlines, simple cute design, absolutely no text no letters no words no labels no writing no numbers",img_G24-017-v3.png
